Company,Former / alternate names,Brief Description,Website,B2B/B2C,Company focus,Protein category,Technology Focus,Product Type,Animal-Type Analog,Ingredient Type,Operating Regions,HQ Country,HQ State (U.S. only),HQ State/Province (Non-U.S.),HQ City,Founders,Parent company,Company email,Link to parent company's record,Link to subsidiary/brand
21st.BIO,,"Established as a fully integrated end-to-end partner, 21st.BIO supports its customers from technical assessment, strain development and optimization, production processes and upscaling, tech transfer to large scale manufacturing and regulatory services. ",https://21st.bio/,B2B,"Eggs,Dairy,Ingredients and inputs,Bioprocessing infrastructure and equipment,Contract manufacturing/processing",Precision fermentation,"Host strain development,Bioprocess design",Ingredients,Other,,Europe,Denmark,,,Søborg,"Thomas Schmidt, CEO, and Per Falholt, CSO",,info@21st.bio,,
70/30 Food Tec,,Whole-cut chicken with mycelium base,https://7030foodtech.com/,B2C,Meat,Biomass fermentation,End product formulation and manufacturing,"Other meat/seafood,Whole muscle meat/seafood",Chicken,Mushrooms,Asia Pacific,Mainland China,,,Shanghai,"Eve Samyuktha, Vera Li",,,,
acayù,,"Plant-based cheese company crafting a range of organic, healthy, sustainable cheeses. ",https://acayu-foods.com/,B2B,Dairy,"Plant-based,Fermentation-derived",End product formulation and manufacturing,Cheese,,Cashew,Europe,Portugal,,Algarve,Aljezur,Raz Swissa and Moti Nagar,,info@acayu-foods.com,,
Adamo Foods,,UK-based company working on fungi-based steak.,https://www.adamofoods.com/,B2C,Meat,Biomass fermentation,End product formulation and manufacturing,Whole muscle meat/seafood,Beef/veal,Mycelium,Europe,United Kingdom,,,London,Pierre Dupuis,,contact@adamofoods.com,,
ÄIO,,"Estonian start-up producing alternatives to animal fats, palm oil and coconut oil using microbial lipid production.",https://aio.bio/,B2B,Ingredients and inputs,Precision fermentation,"Ingredient optimization,Bioprocess design",Oils and fats,,,Europe,Estonia,,,Tallinn,"Nemailla Bonturi, Petri-Jaan Lahtvee",,info@aio.bio,,
Air Protein,,U.S.-based startup focusing on using a closed loop carbon cycle to create food grade protein,https://www.airprotein.com/,"B2C,B2B",Ingredients and inputs,Biomass fermentation,Ingredient optimization,Ingredients,,Soy,United States and Canada,United States,California,,San Leandro,"Lisa Dyson, Dr. John Reed",Kiverdi,information@airprotein.com,,
Alcheme Bio,,"Alcheme Bio revolutionizes how cultured product companies optimize for flavor and nutrition, significantly reducing R&D, development and manufacturing time and cost, so that our customers create products that consumers love to eat in less time - vital in ensuring adoption of cultivated meats, dairies and other lab-grown foods. ",https://www.alchemebio.com/,,,"Cultivated,Precision fermentation","Cell culture media,Ingredient optimization",,,,United States and Canada,United States,California,,San Marcos,"VANESSA SMALL, CLAIR PURCELL",,,,
Algama ,Update Foods,"Platform for microalgae-based plant-based foods and ingredients (including egg, seafood, meat, and dairy replacements)",http://algamafoods.com/,"B2C,B2B","Food processing infrastructure and equipment,Contract manufacturing/processing,Seafood,Ingredients and inputs",Biomass fermentation,"End product formulation and manufacturing,Bioprocess design,Ingredient optimization","Ground meat/seafood,Eggs,Other,Ingredients",Tuna,"Algae,Microalgae",Europe,France,,,Paris,Alvyn Severien and Gaëtan Gohin,,,,
Algenuity,,UK-based company that provides microalgae-based solutions for use in the plant-based food sector. ,https://www.algenuity.com/,B2B,Ingredients and inputs,"Plant-based,Biomass fermentation","Ingredient optimization,Bioprocess design",Ingredients,,"Algae,Microalgae",Europe,United Kingdom,,,Bedfordshire,Andrew Spicer and Timothy Alavosus,,info@algenuity.com,,
Algrow Biosciences,,Singapore-based company creating alternative dairy products using microalgea fermentation technology.,https://algrowbiosciences.co/,B2B,Dairy,Fermentation-derived,Ingredient optimization,"Milk,Other dairy,Ingredients",Other,Algae,Asia Pacific,Singapore,,,Singapore,Sudhir Kumar Pasupuleti,,,,
All G Foods,,"After recently splitting from its plant-based arm 'Love Buds', All G is now focusing on the production of precision-fermented lactoferrin",https://www.allgfoods.com/,B2C,Dairy,Precision fermentation,End product formulation and manufacturing,"Other dairy,Ingredients",,,Australia/New Zealand,Australia,,,,,,,,
Allbiotech,,"Company that builds more accessible, efficient bioreactors for the alternative proteins value chain.",https://allbiotech.eu/,B2B,Bioprocessing infrastructure and equipment,Precision fermentation,Bioprocess design,,,,Europe,Spain,,Navarre,Pamplona,Pablo Goñi,,info@allbiotech.eu,,
